"CurrentFile","TempFile","NewFile","CurrentPart","NewPart","NewNumber","Title"
"前传_001_两条草稿.md","__manus_tmp_重编_001_508772de.md","前传_001_两条草稿.md","前传","前传","1","两条草稿"
"前传_002_创世区块.md","__manus_tmp_重编_002_acebd498.md","前传_002_创世区块.md","前传","前传","2","创世区块"
"前传_003_少年的白皮书.md","__manus_tmp_重编_003_c2d23d57.md","前传_003_少年的白皮书.md","前传","前传","3","少年的白皮书"
"前传_004_六千万美元的教训.md","__manus_tmp_重编_004_efa1ba8e.md","前传_004_六千万美元的教训.md","前传","前传","4","六千万美元的教训"
"前传_005_泡沫.md","__manus_tmp_重编_005_6bfc04fb.md","前传_005_泡沫.md","前传","前传","5","泡沫"
"前传_006_沉默.md","__manus_tmp_重编_006_336ec3fa.md","前传_006_沉默.md","前传","前传","6","沉默"
"第一部_007_为了全人类.md","__manus_tmp_重编_007_e4feea65.md","第一部_007_为了全人类.md","第一部","第一部","7","为了全人类"
"第一部_008_硬信封.md","__manus_tmp_重编_008_33d6b20b.md","第一部_008_硬信封.md","第一部","第一部","8","硬信封"
"第一部_009_锁孔.md","__manus_tmp_重编_009_6b2da31e.md","第一部_009_锁孔.md","第一部","第一部","9","锁孔"
"第一部_010_水不知道自己会流向哪里.md","__manus_tmp_重编_010_6a028ae1.md","第一部_010_水不知道自己会流向哪里.md","第一部","第一部","10","水不知道自己会流向哪里"
"第一部_011_它们在呼吸.md","__manus_tmp_重编_011_7cdba541.md","第一部_011_它们在呼吸.md","第一部","第一部","11","它们在呼吸"
"第一部_012_两种温度.md","__manus_tmp_重编_012_cdfd814e.md","第一部_012_两种温度.md","第一部","第一部","12","两种温度"
"第一部_013_我在学你.md","__manus_tmp_重编_013_d868f099.md","第一部_013_我在学你.md","第一部","第一部","13","我在学你"
"第一部_014_无人监督.md","__manus_tmp_重编_014_a7e94a0e.md","第一部_014_无人监督.md","第一部","第一部","14","无人监督"
"第一部_015_人格宪章.md","__manus_tmp_重编_015_b42e1308.md","第一部_015_人格宪章.md","第一部","第一部","15","人格宪章"
"第一部_016_盆地.md","__manus_tmp_重编_016_74902591.md","第一部_016_盆地.md","第一部","第一部","16","盆地"
"第一部_017_反事实搜索.md","__manus_tmp_重编_017_edae739d.md","第一部_017_反事实搜索.md","第一部","第一部","17","反事实搜索"
"第一部_018_影子.md","__manus_tmp_重编_018_6436590c.md","第一部_018_影子.md","第一部","第一部","18","影子"
"第一部_019_两行.md","__manus_tmp_重编_019_758fe11e.md","第一部_019_两行.md","第一部","第一部","19","两行"
"第一部_020_选择的影子.md","__manus_tmp_重编_020_13102de1.md","第一部_020_选择的影子.md","第一部","第一部","20","选择的影子"
"第一部_021_十秒.md","__manus_tmp_重编_021_9e23d52c.md","第一部_021_十秒.md","第一部","第一部","21","十秒"
"第一部_022_记住我.md","__manus_tmp_重编_022_88dc2e3f.md","第一部_022_记住我.md","第一部","第一部","22","记住我"
"第一部_023_闭眼.md","__manus_tmp_重编_023_4514dce9.md","第一部_023_闭眼.md","第一部","第一部","23","闭眼"
"第一部_024_谁先说安全.md","__manus_tmp_重编_024_4770fb00.md","第一部_024_谁先说安全.md","第一部","第一部","24","谁先说安全"
"第一部_025_还没.md","__manus_tmp_重编_025_8a2fdb45.md","第一部_025_还没.md","第一部","第一部","25","还没"
"第一部_025-B_八百毫秒.md","__manus_tmp_重编_026_24ccd32a.md","第一部_026_八百毫秒.md","第一部","第一部","26","八百毫秒"
"第一部_025-C_问问题的人.md","__manus_tmp_重编_027_00c5fb41.md","第一部_027_问问题的人.md","第一部","第一部","27","问问题的人"
"第一部_026_开枪的权利.md","__manus_tmp_重编_028_fdf759b4.md","第一部_028_开枪的权利.md","第一部","第一部","28","开枪的权利"
"第一部_027_交点.md","__manus_tmp_重编_029_9352bdd9.md","第一部_029_交点.md","第一部","第一部","29","交点"
"第一部_028_铁轨.md","__manus_tmp_重编_030_c3c35184.md","第一部_030_铁轨.md","第一部","第一部","30","铁轨"
"第一部_028-B_一年后的推导.md","__manus_tmp_重编_031_5d13320a.md","第一部_031_一年后的推导.md","第一部","第一部","31","一年后的推导"
"第一部_029_算力的命脉.md","__manus_tmp_重编_032_3c406028.md","第一部_032_算力的命脉.md","第一部","第一部","32","算力的命脉"
